,Company Name,Location,Industry,Produktbeschreibung,Vertriebserfolge,Mitbewerber-Analyse,Beschreibung der Marktsituation,Durchgeführte Marktanalyse,Zielbranchen,Sales-Channel,Vertriebsaktivitäten,Team Members,Finanzierungs-Summe,Phase,Art der Finanzierung,Finanzierungsziel,Business Type,Looking for Investment
33,Toyro Inc.,Tokyo,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaVertrieb & Marketing,N/A,Nein,"Kazuhisa Sase, Hiroyuki Yamaoka",N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
34,Toyokumo,Nishi,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & IT,N/A,Nein,Yuji Yamamoto,40.000.000 JPY,N/A,Venture - Series Unknown,N/A,N/A,N/A
35,Towi,Mexico City,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungEDV & ITInternet & Multimedia,N/A,Nein,"Héctor Arriaga, Andrea Oviedo, Enrique Morales",325.000 MXN,N/A,Seed,N/A,N/A,N/A
36,Tower59,San Francisco,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,"Banken & Finanzen + VersicherungKredite & KapitalanlagenDienstleistung, Beratung + Recht & Steuern",N/A,Nein,,N/A,N/A,Seed,N/A,N/A,N/A
37,Tower Paddle Boards,San Diego,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufProduktion,N/A,Nein,Stephan Aarstol,150.000 USD,N/A,Seed,N/A,N/A,N/A
38,"Chengdu Caicheng Software Design Co., Ltd.",Chengdu,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITSoftware,N/A,Nein,,4.469.292 USD,N/A,Series A,N/A,N/A,N/A
39,ToutApp Inc.,San Francisco,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaTelekommunikationVertrieb & MarketingSoftware,N/A,Nein,"Joshua Baer, Matthew Shampine, Greg Gretsch, Paul Singh, Daniel Barber, Tawheed Kader, Scott Weiss, Andrew Riesenfeld, Selin Tyler, Nicolette Mullenix, Grant George, Frank Swain, Nick Feeney, Cynthia Schames, Eileen Wiens, Nick Feeney, Cliff Cate, Jen Nordine, Mohnish Thallavajhula, Margaux Guyonneau, David Hauser, Lauren Buchsbaum, Tara Meyer, Jessica Green, Oscar Tobar, Derek Hopper, Amy Bauer, Steven Steffen, Jonathan Borge",21.480.000 USD,N/A,Series B,N/A,N/A,N/A
40,"Tout, Inc.",San Francisco,Medien & Verlagswesen,N/A,N/A,N/A,Keine Angabe,Nein,Medien & VerlagswesenVideo,N/A,Nein,"Joshua Baer, Sam Schillace, Michael Downing, Jack Mardack, Luke McDonough, Juan Pablo Villarreal, Peter Goldstein, Jason Hoch, Fred McIntyre, Joseph DeFanti, Scott Epstein, Jonathan Cobb, Scott Velicer, Jason Ling, Colin Crawford, David Parsons, Jad DeFanti, Derek Brinkman, Javid Jamae, Daniel Ahiakpor, Zarko Nestorov, Sid Conklin",50.109.500 USD,N/A,Series C,N/A,N/A,N/A
41,TourRadar GmbH,Vienna,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & EinkaufReisen & Tourismus,N/A,Nein,"Hussein Kanji, Erik Blachford, Daniel Glasner, Michael Schuster, Travis Pittman, Markus Wagner, Clemens Grave, Michael Pötscher, Shawn Pittman, Martijn Hamann, Joerg Trouvain, Steven Fantina, Nicholas Trieb, Vanessa Subramaniam, Rostyslav Nemirovsky, Paulo André, Niclas Englert",66.500.000 USD,N/A,Series C,N/A,N/A,N/A
42,Tournote,Seoul,Reisen & Tourismus,N/A,N/A,N/A,Keine Angabe,Nein,Reisen & Tourismus,N/A,Nein,,500.000.000 KRW,N/A,Seed,N/A,N/A,N/A
43,Tourmedica.pl,Lodz,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & Soziales,N/A,Nein,Kinga Stanislawska,N/A,N/A,Seed,N/A,N/A,N/A
44,Touristlink,Nagpur,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaReisen & Tourismus,N/A,Nein,"Glen Buzzetti, Ranjith Cherickel, Jayesh Bagde, David Urmann, Deepak Gupta, Santosh Chhalotre",40.000 USD,N/A,Seed,N/A,N/A,N/A
45,TouristEye,Madrid,Reisen & Tourismus,N/A,N/A,N/A,Keine Angabe,Nein,Reisen & Tourismus,N/A,Nein,"Ariel Camus, Javier Fernandez Escribano, Pablo Alvarez-Aparicio, Diego Jimenez",475.000 USD,N/A,Seed,N/A,N/A,N/A
46,Tin Whiskers,Saint Paul,Lebensmittel & Getränke,N/A,N/A,N/A,Keine Angabe,Nein,Lebensmittel & GetränkeProduktion,N/A,Nein,"George Kellerman, Jeff Moriarty, Jake Johnson",214.060 USD,N/A,Seed,N/A,N/A,N/A
47,TIMPIK,Madrid,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaMobilfunkbranchePlattformenSoftwareSport & Unterhaltung,N/A,Nein,"Pablo Muniz, Andres Lozano Sanudo, Camilo Lopez, Francisco Sanchez, Francisco Montilla",574.358 USD,N/A,Seed,N/A,N/A,N/A
48,TIMining,Santiago,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITDaten & AnalytikSoftware,N/A,Nein,Nicolas Jubera,N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
49,TerminApp GmbH,Munich,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITSoftware,N/A,Nein,"Andreas Knürr, Markus Olivier, Hristo Hristakiev, Boyan Tanchev",11.500.000 EUR,N/A,Venture - Series Unknown,N/A,N/A,N/A
50,Timetovisit,Moscow,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesInternet & Multimedia,N/A,Nein,,500.000 USD,N/A,Seed,N/A,N/A,N/A
51,Timesulin,London,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & Soziales,N/A,Nein,"Andreas Sjolund, Ilke De Gouveia",N/A,N/A,Seed,N/A,N/A,N/A
52,Timeshare Broker Sales,Tampa,Bau und Gebäudetechnik,N/A,N/A,N/A,Keine Angabe,Nein,Bau und GebäudetechnikHandel & EinkaufGemeinschaft & LifestyleReisen & Tourismus,N/A,Nein,Donald Nadeau,100.000 USD,N/A,Seed,N/A,N/A,N/A
53,Timers,Tokyo,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaAppsSoftware,N/A,Nein,"Toshimasa Takahashi, Amado Shiina, Tawa Koichiro",561.999.796 JPY,N/A,Venture - Series Unknown,N/A,N/A,N/A
54,timeplazza,Brussels,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesInternet & MultimediaHandel & EinkaufSport & Unterhaltung,N/A,Nein,"Jean-Jacques Pisano, Geoffroy Verney-Carron, Laurent Dosogne",50.000 EUR,N/A,Seed,N/A,N/A,N/A
55,Time.ly Network Inc.,North Vancouver,Medien & Verlagswesen,N/A,N/A,N/A,Keine Angabe,Nein,Medien & VerlagswesenEvents & VeranstaltungenSoftware,N/A,Nein,"David Plotz, Bernard Slede, Bradley Roulston, Gerson Vanzin, Rik Logtenberg, Amir Hajbaba, Yani Iliev, Evan Aagaard, Mark Dennis",2.415.000 CAD,N/A,Seed,N/A,N/A,N/A
56,Timely Limited,Dunedin,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITGesundheitswesen & SozialesHandel & KonsumInternet & MultimediaHandel & EinkaufMobilfunkbranchePlattformenSoftware,N/A,Nein,"Rowan Simpson, Andrew Schofield, Oseh Mathias, Jo Blundell, Paul Shingles, Angus Weir, William Berger, Rueben Skipper, Ryan Baker, Dave Strydom, Kieran Prisk, Colin Rohloff, Louise Donnelly-Davey, Dave Curlewis, Louise Blakely, Mike O'Donnell, Neil Conchie, Keegan Shore, Sarah Ley-Hamilton, Alan Bauchop, Erin Shanks, Andrew Long, Madison Stumbles, Seba Villamonte, Justin Hewitt, Jess Raubenheimer, Larissa Macleman, Jimmi Corbishley, John Bollen, Israel Butson, Amanda Dorrell",5.954.965 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
57,Timeliner,Ekaterinburg,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaEvents & Veranstaltungen,N/A,Nein,,50.000 USD,N/A,Seed,N/A,N/A,N/A
58,Timehop Inc.,New York,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaMarketing & PRGemeinschaft & LifestyleMedien & VerlagswesenVertrieb & Marketing,N/A,Nein,"Nikhil Basu Trivedi, Bryce Roberts, Andrew Parker, Sean Flynn, Rick Webb, Jonathan Wegener, Ezra Smyser, Matt Raoul, Benny Wong, Tess Manning, Austin Grose, Marco De la Cruz, Jonathan Baxter, Jessica Weinberg, Kevin Cantwell, Sarah Wood, Rachel Nash, Bruno De Carvalho, Jacob Tabak, Chris Trott, Evan Coleman, Jake Simms",14.118.000 USD,N/A,Series B,N/A,N/A,N/A
59,Timecounts,Toronto,Verwaltungsdienstleistungen,N/A,N/A,N/A,Keine Angabe,Nein,"VerwaltungsdienstleistungenDienstleistung, Beratung + Recht & Steuern",N/A,Nein,,N/A,N/A,Seed,N/A,N/A,N/A
60,TimeCast,Seoul,Apps,N/A,N/A,N/A,Keine Angabe,Nein,AppsMobilfunkbrancheSoftware,N/A,Nein,Daniel Choi,600.000 USD,N/A,Seed,N/A,N/A,N/A
61,Time To Cater,St Louis,Verwaltungsdienstleistungen,N/A,N/A,N/A,Keine Angabe,Nein,VerwaltungsdienstleistungenHandel & EinkaufLebensmittel & GetränkeReisen & Tourismus,N/A,Nein,"Craig Herron, Chuck Vallurupalli, Edward Spinaio",152.500 USD,N/A,Seed,N/A,N/A,N/A
62,TIME PLUS Q,Tallinn,Mobilfunkbranche,N/A,N/A,N/A,Keine Angabe,Nein,Mobilfunkbranche,N/A,Nein,"Satheesh Kumar, Shiv Raj, Sri Prasanth S",15.000 EUR,N/A,Seed,N/A,N/A,N/A
63,Timbuktu Labs,San Francisco,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungHandel & KonsumAppsGemeinschaft & LifestyleMedien & VerlagswesenMobilfunkbranchePlattformenSoftware,N/A,Nein,"Elena Favilli, Paolo Giovine, Francesca Cavallo",N/A,N/A,Seed,N/A,N/A,N/A
64,Tima Networks,Xuhui,Unterhaltungselektronik,N/A,N/A,N/A,Keine Angabe,Nein,"UnterhaltungselektronikHardwareVerkehr, Transport & Logistik + Automobil",N/A,Nein,,112.800.000 CNY,N/A,Series D,N/A,N/A,N/A
65,TIM CONNECT,Moscow,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & IT,N/A,Nein,Vlad Korolev,N/A,N/A,Seed,N/A,N/A,N/A
66,TopDelivery,Moscow,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,"Internet & MultimediaVerwaltungsdienstleistungenHandel & EinkaufVerkehr, Transport & Logistik + Automobil",N/A,Nein,Gleb Nikulin,N/A,N/A,Series A,N/A,N/A,N/A
67,TopDeejays,Ljubljana,Apps,N/A,N/A,N/A,Keine Angabe,Nein,AppsMedien & VerlagswesenMusik und TonSoftwareVideo,N/A,Nein,"Vasja Veber, Matej Gregorčič, Kristian Gorenc, Matija Zajec, Jaka Gornik",40.000 EUR,N/A,Seed,N/A,N/A,N/A
68,TopCat Research,Daresbury,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungBiotechnologie,N/A,Nein,,50.000 GBP,N/A,Seed,N/A,N/A,N/A
69,Top2d3d Studios,Lucknow,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRVertrieb & MarketingVideo,N/A,Nein,,240.000 USD,N/A,Series A,N/A,N/A,N/A
70,Top Level Design,Portland,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaDesign,N/A,Nein,Ray King,N/A,N/A,Seed,N/A,N/A,N/A
71,Top Hand Rodeo Tour,Monroe,Events & Veranstaltungen,N/A,N/A,N/A,Keine Angabe,Nein,Events & VeranstaltungenGamingSoftware,N/A,Nein,,250.000 USD,N/A,Seed,N/A,N/A,N/A
72,Toovari,Pozuelo De Alarcón,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungGaming,N/A,Nein,,N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
73,Toothpick,London,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITGesundheitswesen & Soziales,N/A,Nein,"Jozef Wallis, Michael Stephanblome, Julian Carter, Sandeep Senghera, Satish Jayakumar",N/A,N/A,Seed,N/A,N/A,N/A
74,Toor,Fukushima-shi,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaDaten & Analytik,N/A,Nein,"Yoshio Takaeda, Tetsuya Kanada, Kenji OKADA",150.000 USD,N/A,Seed,N/A,N/A,N/A
75,ToonTime,Rotterdam,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaMedien & Verlagswesen,N/A,Nein,Joris Rijpma,125.000 USD,N/A,Seed,N/A,N/A,N/A
76,Toolea,Cadiz,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & Multimedia,N/A,Nein,,200.000 EUR,N/A,Seed,N/A,N/A,N/A
77,Toodalu,Chicago,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaAppsBanken & Finanzen + VersicherungMobilfunkbrancheVertrieb & MarketingSoftware,N/A,Nein,"Ravi Singh, Todd O'Hara, Casey Civiello, Chris Lubinski",1.100.000 USD,N/A,Seed,N/A,N/A,N/A
78,Tonx,Los Angeles,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufMobilfunkbranche,N/A,Nein,"Michael Agustin, Tony Konecny, Scott Rocher, Nik Bauman",N/A,N/A,Seed,N/A,N/A,N/A
79,"Tonomi, Inc.",Menlo Park,Apps,N/A,N/A,N/A,Keine Angabe,Nein,AppsSoftware,N/A,Nein,"Eric Benhamou, Victoria Livschitz, Marina Levinson, John E. Derrick, Avery Lyford, Stan Klimoff",1.800.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
80,"Tonic Solutions, Inc.",Palo Alto,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & Soziales,N/A,Nein,"Brad Garlinghouse, Boris Glants, Sterling Lanier",8.907.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
81,Tongzhong Media,Shenzhen,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRVertrieb & Marketing,N/A,Nein,,N/A,N/A,Series A,N/A,N/A,N/A
82,Tongxuebuluo.com,Shanghai,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungInternet & MultimediaSoftware,N/A,Nein,,33.000.000 CNY,N/A,Series B,N/A,N/A,N/A
83,TongueStun,Bangalore,Apps,N/A,N/A,N/A,Keine Angabe,Nein,AppsHandel & EinkaufLebensmittel & GetränkeVertrieb & MarketingSoftware,N/A,Nein,Manjunath Ramakrishnan,N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
84,tongdow.com,Shenzhen,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & Einkauf,N/A,Nein,Renmei Ouyang,273.000.000 CNY,N/A,Venture - Series Unknown,N/A,N/A,N/A
85,Tongdao,Hongkou,Daten & Analytik,N/A,N/A,N/A,Keine Angabe,Nein,Daten & AnalytikMobilfunkbrancheSoftware,N/A,Nein,"Jacky Lai, Adrien Moreau, Charles Yen",N/A,N/A,Series A,N/A,N/A,N/A
86,Total Fitness and Nutrition,Vancouver,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesLebensmittel & GetränkeSport & Unterhaltung,N/A,Nein,"Cam Speck, Landon Hamilton",100.000 USD,N/A,Seed,N/A,N/A,N/A
